O*NET-SOC Code,Title,_key,structured_codifiable_work,cognitive_complexity,physical_embodiment,social_emotional_intelligence,creativity_innovation,decision_impact_accountability,automation_potential,overall_score,rationale,scored_at
19-1022.00,Microbiologists,19-1022.00||Microbiologists,3.2,4.4,3.6,2.2,3.8,4.1,Medium,3.3,"Microbiologists perform a mix of standardized, protocol-driven lab work (culturing, assays, QC, documentation) and open-ended scientific reasoning (experimental design, interpretation, troubleshooting), making the role only partially codifiable. AI can strongly augment literature review, hypothesis generation, experimental planning, image/sequence analysis, statistical modeling, and report writing, but wet-lab execution still requires physical handling, biosafety practices, and instrument operation that are harder to automate broadly. The work often involves high cognitive complexity and domain judgment, especially when results are ambiguous or conflicting and when translating findings into clinical or product decisions. Social/emotional demands are moderate (collaboration, communicating results), but not the core differentiator. Stakes can be high in clinical, pharmaceutical, or public-health contexts, increasing the need for human oversight, validation, and accountability even when AI assists.",2026-02-27T06:38:42.989152
19-1023.00,Zoologists and Wildlife Biologists,19-1023.00||Zoologists and Wildlife Biologists,3.2,4.1,3.6,2.6,3.7,4.0,Medium,3.1,"Zoologists and wildlife biologists combine fieldwork (surveys, tagging, habitat assessment) with analytical work (statistics, modeling, GIS, literature synthesis), making some components highly automatable while others require on-site presence. AI can strongly augment data processing, species identification from images/audio, remote-sensing analysis, report drafting, and routine statistical workflows, raising automation for structured tasks. However, study design, interpreting ecological context, handling messy field conditions, and making defensible scientific judgments under uncertainty remain cognitively complex and less codifiable. Physical requirements (field sampling, animal handling, equipment deployment) limit full automation without advanced robotics. Decisions often inform conservation policy and land/water management with regulatory and ethical stakes, increasing accountability and keeping humans in the loop for final judgments and stakeholder-facing recommendations.",2026-02-27T06:38:47.800251
19-1029.00,"Biological Scientists, All Other","19-1029.00||Biological Scientists, All Other",2.8,4.4,3.2,2.6,4.1,3.8,Medium,3.1,"This catch-all biological scientist category spans diverse roles, but much of the work involves hypothesis-driven research, experimental design, and interpretation under uncertainty, which is less codifiable and requires high domain judgment. AI can strongly augment literature review, experimental planning suggestions, data analysis, modeling, image/omics interpretation, and drafting reports/manuscripts, raising automation for the digital portions. However, many positions require hands-on lab/field work (sample collection, wet-lab protocols, instrument operation, troubleshooting), which remains only partially automatable due to physical embodiment and variability. Collaboration, grant writing, and stakeholder communication are important but typically not as emotionally intensive as counseling roles, making them moderately augmentable. Because errors can affect safety, regulatory compliance, and scientific validity, human accountability and oversight remain central even when AI assists.",2026-02-27T06:38:52.660742
19-1029.01,Bioinformatics Scientists,19-1029.01||Bioinformatics Scientists,3.6,4.6,1.2,2.4,4.2,4.1,Medium,3.4,"Bioinformatics science involves substantial codifiable components (data cleaning, pipeline execution, statistical testing, database/algorithm implementation) that are increasingly automatable with AI-assisted coding and workflow tools. However, the work is cognitively complex: selecting appropriate models, interpreting biological meaning, handling confounders, and designing sound studies require deep domain judgment and context. Physical embodiment is low because most tasks are computational, though some coordination with wet-lab processes may occur. Creativity is high due to novel method development and hypothesis generation, and decision impact is often high given implications for clinical/biotech R&D and regulatory expectations, keeping humans accountable for conclusions. Overall, AI can strongly augment analysis and software development, but human scientists remain critical for problem framing, validation, and scientific responsibility.",2026-02-27T06:38:57.531387
19-1029.02,Molecular and Cellular Biologists,19-1029.02||Molecular and Cellular Biologists,3.2,4.6,3.8,2.6,4.3,4.0,Medium,3.1,"Molecular and cellular biology research includes many structured, codifiable components (literature search, protocol drafting, data cleaning, statistical analysis, image quantification, and report writing) that are increasingly automatable with AI and lab software. However, the work also demands high cognitive complexity and scientific judgment in experimental design, interpreting ambiguous results, troubleshooting, and integrating findings with biological context. Significant physical embodiment remains due to wet-lab experimentation (sample prep, cell culture, microscopy, instrument operation), though robotics can automate subsets in well-instrumented labs. Creativity is central for hypothesis generation and novel assay development, and accountability is relatively high given biosafety, research integrity, and downstream clinical/biotech implications. Overall, AI is best positioned to augment analysis, documentation, and planning, while humans remain critical for experimental judgment, hands-on lab work, and responsible decision-making.",2026-02-27T06:39:03.368024
19-1029.03,Geneticists,19-1029.03||Geneticists,3.2,4.6,2.4,3.1,4.2,4.4,Medium,3.1,"Geneticists’ work mixes codifiable pipelines (variant calling, QC, annotation, literature review, report drafting) with high-context scientific judgment about causality, uncertainty, and study design. AI can strongly augment data analysis, hypothesis generation, experimental planning suggestions, and clinical report summarization, but reliability depends on rigorous validation and domain expertise. Physical embodiment is moderate because much work is computational, yet wet-lab experiments and sample handling still require lab infrastructure and hands-on procedures (though increasingly automated via lab robotics). Social/emotional demands are moderate, rising substantially in clinical genetics where counseling, consent, and communicating risk require trust and empathy. High stakes in clinical interpretation and research integrity/regulatory compliance limit full automation and keep humans accountable for final decisions.",2026-02-27T06:39:08.644193
19-1029.04,Biologists,19-1029.04||Biologists,3.2,4.4,3.0,2.6,4.0,3.8,Medium,3.3,"Biologists’ work mixes standardized, codifiable components (literature review, experimental protocols, data cleaning, statistical analysis, reporting) with open-ended scientific judgment and hypothesis formation. AI can strongly augment bioinformatics, image analysis, experimental design suggestions, and drafting manuscripts/grants, but it is less reliable for selecting biologically meaningful questions and interpreting results in messy real-world contexts. Many roles require physical lab/field work (sample collection, wet-lab experiments, organism handling), which limits full automation without advanced robotics and robust lab integration. Collaboration, peer review, and stakeholder communication matter, but typically require less high-stakes emotional labor than clinical or counseling roles. Errors can have meaningful scientific, regulatory, and biosafety consequences, so human oversight and accountability remain important even when analysis and documentation are automated.",2026-02-27T06:39:13.810635
19-1031.00,Conservation Scientists,19-1031.00||Conservation Scientists,3.2,4.1,3.6,3.7,3.4,4.2,Medium,3.1,"Conservation scientists combine some standardized methods (soil sampling protocols, GIS/remote sensing workflows, erosion models, compliance documentation) with substantial site-specific judgment driven by local ecology, climate, and land-use constraints. Cognitive complexity is high because recommendations require integrating heterogeneous data, forecasting tradeoffs, and adapting plans to uncertain conditions. Physical embodiment is moderate-to-high due to field surveys, inspections, and on-site assessments that are difficult to fully automate without robust robotics and sensing infrastructure. Social and emotional intelligence is important for advising and persuading landowners/managers, negotiating feasible practices, and building trust for adoption. Many analytical and reporting components are highly augmentable by AI (data processing, mapping, scenario modeling, drafting management plans), but final decisions and accountability remain human-critical given environmental, regulatory, and safety stakes.",2026-02-27T06:39:19.137499
19-1031.02,Range Managers,19-1031.02||Range Managers,3.2,4.0,3.4,3.1,3.3,4.2,Medium,3.2,"Range management includes a mix of codifiable tasks (monitoring protocols, stocking-rate calculations, GIS/remote-sensing analysis, reporting) and context-heavy ecological judgment (site-specific variability, weather, invasive species dynamics). AI can automate/augment data collection and interpretation (satellite imagery classification, trend detection, forecasting, documentation), but field verification and adaptive management still require on-site presence and practical expertise. Stakeholder coordination with ranchers, agencies, and conservation groups adds negotiation and trust-building that is only partially automatable. Decisions can be high-impact (ecosystem health, compliance, wildfire risk, grazing permits), increasing the need for accountable human oversight even when analytics are automated.",2026-02-27T06:39:23.747600
19-1031.03,Park Naturalists,19-1031.03||Park Naturalists,3.2,3.4,3.1,4.2,3.6,3.0,Medium,3.1,"Park naturalists combine structured tasks (curriculum planning, scheduling, safety procedures, interpretive standards) with substantial in-the-moment adaptation to audience needs and changing outdoor conditions. AI can automate/augment research, content drafting, lesson-plan generation, translation, accessibility adaptations, quiz/handout creation, and logistics (registrations, reminders, route planning, inventory). However, delivering engaging programs on-site relies heavily on social presence, group management, trust-building, and reading audience cues, which are harder to automate. Field work also involves physical presence and situational awareness (weather, wildlife, trail conditions) that limits full automation without advanced robotics. Accountability is moderate: errors can affect visitor safety and public trust, so human oversight remains important even when AI supports preparation and materials.",2026-02-27T06:39:29.690325
19-1032.00,Foresters,19-1032.00||Foresters,3.2,4.0,3.6,3.0,3.2,4.2,Medium,3.1,"Forestry work mixes standardized components (inventory methods, growth models, compliance checklists, contract templates) with substantial contextual judgment about ecosystems, terrain, and long time horizons. Many analytical tasks are amenable to AI augmentation—remote sensing interpretation, timber volume estimation, harvest scheduling optimization, and drafting reports/contracts—especially when paired with GIS and sensor data. However, field verification, on-the-ground assessments of site conditions, and supervision of operations require physical presence and practical expertise that are harder to automate reliably. Stake levels are often high due to regulatory compliance, safety, and ecological impacts, which increases the need for accountable human oversight even when AI provides recommendations. Negotiation with landowners, agencies, and stakeholders is partially automatable (prep, analysis) but still depends on trust-building and local relationships.",2026-02-27T06:39:34.908664
19-1041.00,Epidemiologists,19-1041.00||Epidemiologists,3.4,4.4,1.3,3.0,3.6,4.6,Medium,3.2,"Epidemiology includes many structured, codifiable components (data cleaning, surveillance pipelines, statistical modeling, literature synthesis) that AI can automate or strongly augment, especially in routine analyses and reporting. However, the work also demands high contextual judgment in study design, causal inference, bias/confounding assessment, and interpreting results amid incomplete or noisy data, which raises cognitive complexity and limits full automation. Physical embodiment is low because most tasks are digital, though some field investigation and on-site coordination can occur. Social and emotional intelligence is moderate due to collaboration with clinicians, public health officials, and communities, plus risk communication and stakeholder alignment. Decision impact is high because outputs can drive policy, outbreak response, and resource allocation, requiring human accountability, ethical oversight, and validation even when AI assists.",2026-02-27T06:39:39.955935
19-1042.00,"Medical Scientists, Except Epidemiologists","19-1042.00||Medical Scientists, Except Epidemiologists",3.2,4.6,2.8,2.6,4.4,4.3,Medium,3.1,"Medical scientists’ work mixes standardized components (literature review, protocol templates, statistical analysis, documentation) with substantial open-ended scientific judgment, making it only partially codifiable. AI can strongly augment hypothesis generation, experimental design suggestions, bioinformatics/statistics, data cleaning, drafting manuscripts/grants, and monitoring literature, but it is less reliable for selecting the right biological models, interpreting ambiguous results, and making causal claims under uncertainty. Many roles require wet-lab work, specimen handling, and instrument operation, which remain harder to automate without advanced robotics and robust lab integration. The work is high-stakes (patient safety in clinical research, regulatory compliance, reproducibility), so human accountability and oversight remain central even when AI accelerates analysis and writing. Collaboration with clinicians, IRBs, and cross-functional teams adds interpersonal coordination needs, though deep patient-facing empathy is typically less central than in clinical care roles.",2026-02-27T06:39:45.852244
19-1099.00,"Life Scientists, All Other","19-1099.00||Life Scientists, All Other",2.6,4.4,3.2,2.8,4.2,4.0,Medium,3.0,"This catch-all category spans many research and applied life-science roles, so work is only partially standardized and often varies by domain, lab, and project. Core activities like literature review, data cleaning/analysis, modeling, documentation, and drafting reports are highly augmentable by AI, raising automation feasibility for the digital portions. However, hypothesis formation, experimental design, interpreting ambiguous biological results, and integrating domain context require advanced judgment and creativity, limiting full automation. Many roles also involve wet-lab or fieldwork (sample handling, assays, instrumentation, biosafety), which still needs physical presence and procedural compliance. High-stakes decisions (e.g., clinical, regulatory, biosafety, or product-impacting conclusions) typically require human accountability and oversight even when AI assists.",2026-02-27T06:39:51.142573
19-2011.00,Astronomers,19-2011.00||Astronomers,3.2,4.6,1.6,2.4,4.2,3.4,Medium,3.3,"Astronomy includes many structured, codifiable components (data reduction pipelines, statistical modeling, simulation runs, literature search, and report drafting) that are highly amenable to AI augmentation and partial automation. However, the core scientific work requires high cognitive complexity and creativity: framing novel research questions, choosing appropriate methods, interpreting ambiguous results, and integrating theory with observational constraints. Physical embodiment is generally low because much work is computational/remote, though some roles involve instrument operation or observatory work that is less automatable. Social/emotional demands are moderate (collaboration, peer review, grant writing, mentoring) and benefit from human judgment and credibility. Decision impact is moderate-to-high: errors can waste expensive telescope time and mislead scientific conclusions, so accountability and validation keep humans in the loop even when AI handles substantial analysis.",2026-02-27T06:39:56.816391
19-2012.00,Physicists,19-2012.00||Physicists,2.6,4.8,2.4,2.7,4.6,3.8,Medium,3.0,"Core physics research involves high cognitive complexity and substantial creativity: framing novel questions, selecting appropriate models, and interpreting ambiguous results are not fully codifiable. Many sub-tasks are highly automatable/augmentable (literature search/synthesis, symbolic manipulation, coding assistance, data analysis, simulation workflows, drafting papers, and hypothesis generation). Physical embodiment varies by subfield: theoretical/computational work is largely digital, while experimental physics requires lab presence, instrumentation, and safety procedures that are harder to automate end-to-end. Social/emotional demands are moderate (collaboration, peer review, grant writing), and high-stakes accountability can be significant in regulated or safety-critical applications, limiting full autonomy. Overall, AI can strongly accelerate productivity but is less reliable for end-to-end ownership of research direction and high-consequence scientific judgment.",2026-02-27T06:40:02.399706
19-2021.00,Atmospheric and Space Scientists,19-2021.00||Atmospheric and Space Scientists,3.6,4.4,1.4,2.2,3.4,4.1,Medium,3.4,"Large portions of meteorological analysis and forecasting are data-driven and can be standardized (e.g., ingesting satellite/radar data, running numerical models, producing routine forecast products), making them amenable to automation and AI augmentation. However, the work often requires high-level scientific judgment: diagnosing unusual atmospheric setups, reconciling conflicting model guidance, and reasoning under uncertainty, which raises cognitive complexity and limits full automation. Physical embodiment is low because most tasks are digital, though some roles may involve field instrumentation oversight. Social/emotional demands are moderate: communicating risk and uncertainty to decision-makers and the public matters, but deep counseling/negotiation is not central. Accountability is relatively high because forecast errors can affect safety and economic outcomes, so human oversight, validation, and sign-off remain important, especially for high-impact events and specialized forecasts.",2026-02-27T06:40:07.092389
19-2031.00,Chemists,19-2031.00||Chemists,3.6,4.2,3.4,2.2,3.8,4.1,Medium,3.4,"Chemists’ work includes many standardized, measurable procedures (sample prep, instrument runs, QC checks, documentation) that are amenable to automation via lab robotics, LIMS/ELN systems, and AI-assisted data analysis, raising codifiability. However, experimental design, troubleshooting anomalous results, interpreting ambiguous data, and selecting methods require substantial domain judgment and contextual reasoning. Physical lab work (handling chemicals, maintaining instruments, ensuring safety compliance) still benefits from human presence, though it can be partially automated in high-throughput settings. Social demands are moderate (collaboration, reporting), but not typically dominated by high-empathy interactions. Stakes can be high in regulated environments (pharma, environmental, safety), which slows full automation and keeps humans accountable for sign-off and risk management.",2026-02-27T06:40:11.773900
19-2032.00,Materials Scientists,19-2032.00||Materials Scientists,2.8,4.6,3.2,2.6,4.4,4.1,Medium,3.1,"Materials scientists do a mix of standardized work (characterization protocols, data analysis, literature review, reporting) and open-ended research (hypothesis formation, experimental design, interpreting ambiguous results), making the role only partially codifiable. AI can strongly augment computational modeling, materials informatics, experiment planning, and analysis of spectroscopy/microscopy data, but novelty-driven discovery and contextual scientific judgment remain human-critical. Many workflows require physical lab work (sample prep, instrument operation, safety compliance), which limits full automation unless paired with robotics and well-instrumented labs. Collaboration with engineers, vendors, and cross-functional teams is important but typically less emotionally nuanced than counseling/negotiation-heavy roles. Decisions can be high-stakes (safety, reliability, regulatory compliance, IP), increasing the need for accountable human oversight even when AI accelerates parts of the pipeline.",2026-02-27T06:40:16.684607
19-2041.00,"Environmental Scientists and Specialists, Including Health","19-2041.00||Environmental Scientists and Specialists, Including Health",3.4,4.2,3.1,3.0,3.6,4.4,Medium,3.3,"This occupation mixes standardized, codifiable components (sampling protocols, QA/QC, data cleaning, statistical analysis, reporting) with complex, context-dependent scientific judgment about causality, uncertainty, and appropriate remediation. AI can strongly augment literature review, data synthesis, modeling, anomaly detection, geospatial analysis, and drafting of technical reports and regulatory documentation. However, fieldwork and chain-of-custody sampling often require physical presence and adherence to strict procedures, limiting full automation. Stakeholders, regulators, and affected communities require trust-building, risk communication, and negotiation, which remain human-critical. High-stakes decisions (public health, compliance, liability) increase the need for accountable expert oversight even when AI performs substantial analytical work.",2026-02-27T06:40:21.191344
19-2041.01,Climate Change Policy Analysts,19-2041.01||Climate Change Policy Analysts,3.4,4.2,1.2,3.6,3.7,4.3,Medium,3.3,"Climate change policy analysis involves substantial desk-based research, synthesis of reports, and drafting of memos—areas where AI can automate literature review, summarization, data extraction, and first-pass policy option write-ups. However, the work requires high contextual judgment across science, economics, law, and politics, including handling uncertainty, tradeoffs, and second-order effects, which raises cognitive complexity and limits full automation. Stakeholder engagement, persuasion, and coalition-building for legislation or campaigns require trust and nuanced communication that AI can support but not fully replace. Creativity is moderate because analysts often adapt known policy instruments to new contexts and craft narratives for awareness/fundraising. Accountability is high due to public impact, reputational risk, and potential regulatory/legal implications, keeping humans in the loop for final recommendations and sign-off.",2026-02-27T06:40:25.988854
19-2041.02,Environmental Restoration Planners,19-2041.02||Environmental Restoration Planners,3.2,4.2,2.4,3.4,3.6,4.1,Medium,3.3,"Environmental restoration planning includes substantial structured work (data processing, reporting, monitoring plans) that AI can automate or accelerate, especially for literature review, GIS/data synthesis, scenario modeling, and drafting restoration/monitoring strategies. However, the role also requires high contextual scientific judgment to interpret uncertain ecological data, balance tradeoffs, and tailor interventions to site-specific constraints, which limits full automation. Collaboration with field and biology staff, stakeholder coordination, and building trust around project choices add social complexity that AI can support but not replace. Some physical presence is often needed for field verification and implementation oversight, though parts can be remote via sensors and imagery. Because decisions can affect ecosystems, compliance, budgets, and long-term outcomes, accountability and risk management keep humans in the loop even when AI provides recommendations.",2026-02-27T06:40:31.942197
19-2041.03,Industrial Ecologists,19-2041.03||Industrial Ecologists,3.2,4.4,1.6,3.4,4.0,4.3,Medium,3.2,"Industrial ecologists do substantial analytical and modeling work (e.g., material/energy flow analysis, LCA-style assessments, scenario modeling) that is partly standardized and therefore amenable to automation. However, the role requires high contextual judgment to choose system boundaries, interpret uncertain data, reconcile tradeoffs across environmental, economic, and social objectives, and avoid misleading conclusions. Much of the work is digital, but it often involves stakeholder engagement, persuasion, and cross-functional coordination where trust and domain credibility matter. Creativity is needed to design novel circular-economy interventions and industrial symbiosis opportunities rather than just compute metrics. Because recommendations can influence compliance, capital allocation, and reputational/regulatory risk, human accountability and review remain critical even if AI accelerates data gathering, modeling, reporting, and sensitivity analysis.",2026-02-27T06:40:37.059811
19-2042.00,"Geoscientists, Except Hydrologists and Geographers","19-2042.00||Geoscientists, Except Hydrologists and Geographers",3.2,4.4,2.6,2.4,3.6,4.2,Medium,3.3,"Geoscience work mixes standardized, codifiable components (data processing pipelines, GIS workflows, seismic interpretation aids, report templates) with substantial expert judgment under uncertainty, which limits full automation. The role is cognitively complex: integrating multi-modal evidence (field observations, lab results, remote sensing, models) and reasoning about incomplete data and competing hypotheses. Physical embodiment is moderate because some subfields require fieldwork, sampling, and site inspections, though a large share of analysis is digital and can be AI-augmented. Social/emotional demands are present but not dominant, typically involving cross-functional communication, stakeholder briefings, and regulatory coordination rather than intensive counseling or negotiation. AI can strongly augment pattern recognition (e.g., seismic facies, anomaly detection), simulation/model calibration, literature synthesis, and drafting technical documentation, but humans remain critical for designing studies, validating interpretations, making high-stakes recommendations (drilling, hazard assessments, waste disposal), and bearing accountability for safety/regulatory decisions.",2026-02-27T06:40:43.004364
19-2043.00,Hydrologists,19-2043.00||Hydrologists,3.6,4.2,2.4,2.3,3.4,4.1,Medium,3.4,"Hydrologists do substantial structured work (data collection, QA/QC, statistical analysis, GIS, and running established hydrologic models), which is increasingly automatable with AI-assisted coding, workflow automation, and model calibration tools. However, the role also requires high contextual scientific judgment to select appropriate models, interpret uncertain/biased measurements, and reason about site-specific geology, land use, and climate drivers. Fieldwork and instrumentation (gauging stations, sampling, sensor maintenance) create a physical component that is harder to automate end-to-end, though it can be reduced via remote sensing and automated sensors. Communication with stakeholders and regulators is important but typically less emotionally nuanced than counseling/negotiation-heavy roles. Because outputs can influence water-supply planning, flood risk, contamination assessments, and permitting, accountability and error costs are meaningful, keeping humans in the loop for validation and sign-off.",2026-02-27T06:40:48.325634
19-2099.00,"Physical Scientists, All Other","19-2099.00||Physical Scientists, All Other",2.8,4.4,2.6,2.4,4.1,3.8,Medium,3.1,"This catch-all category spans many physical-science roles, but typical work includes hypothesis formation, experimental design, data analysis, and interpretation—areas where AI can strongly augment but not fully replace expert judgment. Many sub-tasks (literature review, coding/analysis pipelines, simulation setup, report drafting, and routine QA/QC) are relatively codifiable and increasingly automatable. However, high cognitive complexity and creativity are often required to choose meaningful research questions, resolve ambiguous results, and integrate domain context, limiting full automation. Physical embodiment varies by specialty: some roles are largely computational, while others require lab/field work, instrument calibration, and safety-compliant procedures that are harder to automate end-to-end. Accountability is moderate-to-high because scientific conclusions can drive costly decisions and must meet reproducibility, regulatory, and ethical standards, keeping humans in the loop for validation and sign-off.",2026-02-27T06:40:54.370240
19-2099.01,Remote Sensing Scientists and Technologists,19-2099.01||Remote Sensing Scientists and Technologists,3.6,4.2,1.6,2.4,3.8,3.9,Medium,3.6,"Remote sensing work includes many standardized, automatable components (data ingestion, preprocessing, feature extraction, classification, change detection, QA checks), making it fairly codifiable. However, high cognitive demands remain in experimental design, sensor/algorithm selection, uncertainty quantification, and interpreting results in domain context (e.g., ecology, urban systems, security). Physical embodiment is generally low because most workflows are digital, though some roles involve field calibration/ground-truthing and sensor deployment. Social/emotional demands are moderate: communicating findings to stakeholders and coordinating with domain experts is important but typically not deeply interpersonal. Creativity is meaningful when developing new methods, fusing modalities, or creating novel applications, which is harder to fully automate. Decision impact can be high (policy, safety, compliance), so human oversight, validation, and accountability are critical even when AI performs much of the analysis.",2026-02-27T06:40:59.288959
19-3011.00,Economists,19-3011.00||Economists,3.6,4.4,1.1,2.6,3.7,4.2,Medium,3.4,"Economists’ work includes many structured, codifiable components (data cleaning, descriptive statistics, forecasting workflows, literature summarization, and report drafting) that are increasingly automatable with AI and statistical tooling. However, high cognitive complexity remains in problem formulation, causal identification strategy, model selection under uncertainty, and interpreting results within institutional and policy context. The work is largely digital with minimal physical embodiment, making it technically amenable to automation, but stakeholder communication and persuasion still require human judgment and credibility. Creativity is moderate: novel hypotheses, research design, and framing can be AI-augmented but typically need expert direction. Because outputs can influence high-stakes policy and business decisions, accountability, ethics, and validation requirements keep humans in the loop even when AI produces analyses or drafts.",2026-02-27T06:41:04.096084
19-3011.01,Environmental Economists,19-3011.01||Environmental Economists,4.2,4.3,1.2,2.8,3.6,4.4,Medium,3.6,"Environmental economists do largely digital, data-driven work (econometrics, cost-benefit analysis, forecasting, scenario modeling) that is relatively structured and therefore amenable to automation/augmentation with AI for data cleaning, literature synthesis, model prototyping, and report drafting. However, the work also requires substantial contextual judgment about assumptions, externalities, uncertainty, and policy design, which raises cognitive complexity and limits full automation. Stakeholders and regulators often rely on these analyses for high-stakes decisions (e.g., environmental regulation, infrastructure, carbon pricing), increasing accountability and the need for defensible methods and transparency. Social skills matter for communicating results, negotiating assumptions, and advising policymakers, but much of the core analysis can be AI-assisted. Human-critical elements include selecting appropriate welfare frameworks, handling ethical/political tradeoffs, validating causal claims, and ensuring methodological rigor under scrutiny.",2026-02-27T06:41:09.027938
19-3022.00,Survey Researchers,19-3022.00||Survey Researchers,3.8,4.0,1.3,2.8,3.4,3.6,Medium,3.6,"Survey research includes many structured, codifiable components (sampling plans, questionnaire logic, data cleaning, weighting, and standard statistical analyses) that are increasingly automatable with AI and analytics tooling. However, high-quality instrument design requires contextual judgment about constructs, bias, measurement error, and how wording interacts with culture and mode effects, keeping cognitive complexity relatively high. Physical embodiment is low because most work is digital, though field supervision can add some real-world coordination. Social/emotional skill is moderate: stakeholder alignment, respondent experience considerations, and managing survey teams benefit from human trust and communication. Accountability is moderate-to-high because errors can mislead policy/business decisions and raise ethical/privacy/regulatory issues, so human oversight remains important even when AI drafts questions, analyzes results, or flags anomalies.",2026-02-27T06:41:14.062192
19-3032.00,Industrial-Organizational Psychologists,19-3032.00||Industrial-Organizational Psychologists,3.2,4.2,1.2,4.1,3.4,4.3,Medium,3.1,"Industrial-organizational psychologists combine some standardized, data-driven activities (survey design, psychometrics, selection validation, training evaluation, HR analytics) with high-context consulting and organizational judgment. AI can automate or strongly augment literature synthesis, survey item drafting, statistical analysis, reporting, and parts of competency modeling and training content generation. However, diagnosing organizational dynamics, building trust with stakeholders, navigating politics and change management, and ethically handling sensitive employee data require strong social intelligence and professional judgment. The work is largely digital (low physical embodiment), but decisions often carry legal/regulatory and reputational risk (e.g., adverse impact, discrimination, privacy), limiting full automation. Overall, many components are automatable, while client-facing consulting, accountability-bearing recommendations, and nuanced interventions remain human-critical.",2026-02-27T06:41:18.636348
19-3033.00,Clinical and Counseling Psychologists,19-3033.00||Clinical and Counseling Psychologists,2.4,4.6,1.4,4.9,3.6,4.7,Medium,2.6,"Core clinical work relies heavily on nuanced human rapport, empathy, and trust-building, making full automation difficult despite the work being largely digital/office-based. Significant components are augmentable: intake/screening questionnaires, structured diagnostic support, note drafting, treatment-plan templates, progress tracking, psychoeducation content, and measurement-based care analytics. However, high cognitive complexity and high-stakes accountability (risk assessment, suicidality, mandated reporting, differential diagnosis, and treatment decisions) require expert human judgment and ethical oversight. Therapy effectiveness often depends on the therapeutic alliance and real-time interpretation of subtle cues, which current AI struggles to replicate reliably. Automation is most feasible as clinician-in-the-loop decision support and administrative relief rather than autonomous diagnosis or psychotherapy delivery.",2026-02-27T06:41:23.806257
19-3034.00,School Psychologists,19-3034.00||School Psychologists,2.6,4.4,2.2,4.8,3.6,4.7,Low,2.4,"School psychologists perform some structured, codifiable tasks (screening instruments, documentation, progress monitoring, report templates), but much of the work depends on nuanced clinical judgment and context-specific interpretation. The role requires high cognitive complexity to integrate multi-source data (tests, observations, teacher reports, family context) and to differentiate learning, behavioral, and developmental factors. Social/emotional intelligence is central for counseling, building trust with students and families, and collaborating with educators, where rapport and ethical sensitivity matter. Decisions are high-stakes (special education eligibility, safety/risk concerns, intervention plans) with significant legal and professional accountability, limiting full automation. AI can meaningfully augment drafting reports, summarizing records, suggesting evidence-based interventions, and tracking outcomes, but human-led assessment, consent/ethics, crisis response, and final determinations remain critical.",2026-02-27T06:41:28.164396
19-3039.00,"Psychologists, All Other","19-3039.00||Psychologists, All Other",2.4,4.6,1.4,4.8,3.6,4.7,Low,2.3,"This occupation is dominated by nuanced assessment, formulation, and intervention work that is difficult to fully standardize, even when using structured instruments. The cognitive demands are high: psychologists integrate incomplete information, context, comorbidities, and longitudinal patterns to make judgments and tailor treatment. Social and emotional intelligence is central because outcomes depend heavily on rapport, trust, and responding to subtle cues, which current AI can only partially emulate. While many components are automatable/augmentable (screening questionnaires, scoring/interpretation support, documentation, psychoeducation content, scheduling, and progress tracking), high-stakes clinical decisions, ethical/legal accountability, and risk management (e.g., suicidality, abuse, duty to warn) remain human-critical. Overall, AI is more likely to serve as a tool that increases efficiency and consistency rather than a replacement for the psychologist’s core role.",2026-02-27T06:41:33.965530
19-3039.02,Neuropsychologists,19-3039.02||Neuropsychologists,3.2,4.7,1.4,4.1,3.4,4.8,Medium,2.8,"Neuropsychology includes some structured, codifiable components (standardized test administration/scoring, report templates, literature review, differential-diagnosis checklists) that AI can automate or strongly augment. However, the core work requires high-level clinical reasoning to integrate nuanced history, behavioral observations, comorbidities, and imperfect/contradictory data into defensible diagnostic formulations. It also relies heavily on rapport-building, sensitive interviewing, and communicating difficult findings to patients/families and care teams, where trust and empathy are central. Stakes are high (medical, legal, educational accommodations), with substantial accountability and regulatory constraints, limiting full automation even if tools are accurate. Overall, AI is likely to be a powerful assistant for testing workflows and documentation, while human neuropsychologists remain critical for interpretation, ethical judgment, and final clinical decisions.",2026-02-27T06:41:39.425821
19-3039.03,Clinical Neuropsychologists,19-3039.03||Clinical Neuropsychologists,3.2,4.7,1.6,4.4,3.3,4.8,Medium,2.8,"Clinical neuropsychology includes some structured, codifiable components (standardized test administration/scoring, report templates, differential checklists) that are amenable to AI augmentation. However, the core work requires high-level clinical reasoning to integrate test results with medical history, imaging, medications, comorbid psychiatric factors, and functional context, often under uncertainty. It also depends heavily on rapport-building, nuanced behavioral observation, and communicating sensitive diagnoses and recommendations to patients/families and multidisciplinary teams. Stakes are high (treatment planning, surgical candidacy support, disability/forensic implications), creating strong accountability and regulatory constraints that limit full automation. AI is most useful for scoring assistance, pattern detection, drafting reports, and decision support; human clinicians remain critical for interpretation, ethical judgment, and final diagnostic/treatment recommendations.",2026-02-27T06:41:45.236251
