O*NET-SOC Code,Title,_key,structured_codifiable_work,cognitive_complexity,physical_embodiment,social_emotional_intelligence,creativity_innovation,decision_impact_accountability,automation_potential,overall_score,rationale,scored_at
11-9071.00,Gambling Managers,11-9071.00||Gambling Managers,3.6,3.4,2.2,3.3,2.4,4.4,Medium,3.2,"Gambling managers oversee casino operations with many standardized, measurable components (scheduling, table limits, compliance checks, reporting) that are amenable to automation via analytics and workflow systems. However, the role also requires contextual judgment around risk, fraud/cheating signals, customer disputes, and real-time operational tradeoffs, which reduces full automation. Physical presence is often needed to supervise floor operations and respond to incidents, though many monitoring tasks can be done digitally through surveillance and dashboards. Social skills matter for handling VIP relationships, staff management, and conflict resolution, which are harder to automate reliably. High regulatory and financial stakes (gaming compliance, anti-money-laundering, responsible gambling) increase accountability and favor human oversight even when AI assists with detection and decision support.",2026-02-24T07:19:39.453042
11-9072.00,"Entertainment and Recreation Managers, Except Gambling","11-9072.00||Entertainment and Recreation Managers, Except Gambling",3.2,3.8,2.6,4.2,3.6,3.9,Medium,3.1,"This role mixes schedulable, measurable work (staffing plans, budgets, ticketing/attendance reporting, compliance checklists) with high-variance operational judgment and guest-facing leadership. AI can strongly automate/augment forecasting demand, optimizing schedules, drafting run-of-show plans, vendor comparisons, marketing content, incident documentation, and KPI dashboards. However, real-time coordination during events, handling guest complaints, motivating staff, negotiating with performers/vendors, and maintaining brand experience rely heavily on human trust, presence, and situational awareness. Physical presence is often required at venues to supervise operations and respond to safety or service issues, limiting full automation. Because decisions affect safety, reputation, and revenue, accountability remains with human managers even when AI provides recommendations.",2026-02-24T07:19:44.920482
11-9081.00,Lodging Managers,11-9081.00||Lodging Managers,3.4,3.6,2.6,4.2,2.7,4.0,Medium,3.2,"Lodging management includes many standardized, measurable processes (reservations, pricing rules, staffing schedules, inventory, reporting) that are well-suited to software and AI-driven optimization, raising automatable potential for back-office and operational planning. However, the role also requires frequent high-trust human interaction—handling guest complaints, service recovery, staff leadership, and coordination with vendors—where empathy, persuasion, and situational judgment remain difficult to automate. Physical presence is often needed for walk-throughs, safety/security oversight, and on-the-ground coordination, though some monitoring can be digitized via sensors/cameras and remote tools. Decision-making carries meaningful accountability (guest safety, compliance, reputational risk, labor issues), which tends to keep humans in the loop even when AI provides recommendations. Overall, AI is likely to augment the job substantially (analytics, forecasting, dynamic pricing, workflow automation), while human managers remain critical for people leadership and exception handling.",2026-02-24T07:19:50.914269
11-9111.00,Medical and Health Services Managers,11-9111.00||Medical and Health Services Managers,3.4,4.1,1.3,4.2,3.2,4.6,Medium,3.1,"Medical and Health Services Managers do a mix of standardized administrative work (scheduling, reporting, billing/compliance documentation, KPI tracking) and complex, context-heavy leadership and operational decision-making. Many back-office components are highly augmentable by AI (forecasting demand, optimizing staffing, drafting policies, summarizing regulations, generating reports, monitoring quality metrics), raising automation of routine coordination and analytics. However, the role relies heavily on stakeholder management, negotiation, culture-setting, and trust-building with clinicians, staff, and external regulators/payers, which is harder to automate reliably. Decisions often carry high accountability (patient safety, legal/regulatory compliance, budget and staffing impacts), keeping humans in the loop for approvals and exception handling. Overall, AI is likely to significantly augment productivity and reduce administrative load, but full automation is constrained by leadership, accountability, and nuanced human coordination.",2026-02-24T07:19:57.096036
11-9121.00,Natural Sciences Managers,11-9121.00||Natural Sciences Managers,3.2,4.2,1.3,4.1,3.6,4.4,Medium,3.0,"Natural Sciences Managers do a mix of structured managerial work (budgeting, scheduling, reporting, compliance) and less-codifiable work (setting research direction, evaluating scientific uncertainty, and making tradeoffs under ambiguity). Many administrative and analytical components are highly augmentable by AI (drafting reports, summarizing literature, tracking milestones, forecasting budgets, and monitoring compliance documentation). However, the role relies heavily on human judgment, domain expertise, and accountability for high-stakes decisions about research priorities, safety/ethics, and resource allocation. It also requires substantial stakeholder management—persuasion, trust-building, and conflict resolution across scientists, executives, funders, and regulators—which is difficult to automate end-to-end. Overall, AI is likely to increase productivity and decision support, but full automation is constrained by leadership, accountability, and nuanced people/strategy work.",2026-02-24T07:20:02.585300
11-9121.01,Clinical Research Coordinators,11-9121.01||Clinical Research Coordinators,4.2,3.6,2.4,3.4,2.3,4.3,Medium,3.4,"Clinical Research Coordinators perform many standardized, protocol-driven activities (scheduling, documentation, regulatory checklists, data entry/cleaning, query resolution) that are highly amenable to workflow automation and AI-assisted document/data processing. However, the role also requires contextual judgment to interpret protocol nuances, manage deviations, and coordinate across investigators, sponsors, IRBs, and site staff, which limits full automation. Patient-facing interactions (consent support, visit coordination, addressing concerns) require trust, empathy, and situational awareness that current AI cannot reliably replicate, and some tasks require on-site presence for specimen handling or visit logistics. High compliance and auditability requirements raise the stakes of errors, favoring AI as decision support with human accountability rather than autonomous operation. Overall, substantial augmentation is feasible, but end-to-end automation is constrained by regulatory responsibility and human coordination needs.",2026-02-24T07:20:08.322151
11-9121.02,Water Resource Specialists,11-9121.02||Water Resource Specialists,3.6,4.1,1.8,3.2,3.4,4.4,Medium,3.3,"Water Resource Specialists combine codifiable tasks (data analysis, monitoring, reporting, compliance documentation) with complex, context-dependent judgment about hydrology, risk, and tradeoffs across stakeholders. Many components are amenable to AI augmentation—e.g., forecasting, anomaly detection in water-quality data, drafting permits/reports, and scenario modeling—raising automation for the analytical and documentation portions. However, work often requires integrating local conditions, uncertain models, and regulatory interpretation, plus coordinating with agencies and communities, which limits full automation. Physical fieldwork and sampling can be partially automated with sensors/remote monitoring but still often needs human oversight and site-specific troubleshooting. High stakes (public health, environmental impacts, legal compliance) increase the need for accountable human review and sign-off even when AI produces recommendations.",2026-02-24T07:20:12.933491
11-9131.00,Postmasters and Mail Superintendents,11-9131.00||Postmasters and Mail Superintendents,4.2,3.4,2.2,3.1,2.3,4.1,Medium,3.6,"Much of a postmaster’s work is operational management with standardized procedures (scheduling, routing oversight, compliance, reporting), which is relatively codifiable and amenable to workflow automation and AI decision support. However, the role also requires contextual judgment for exceptions (service disruptions, staffing shortages, customer escalations) and coordination across stakeholders, which limits full automation. Physical presence is sometimes needed for facility oversight, safety, and on-site problem resolution, though many administrative tasks are digital. Stakes are moderate-to-high due to regulatory compliance, security, and service reliability, so human accountability and sign-off remain important even when AI optimizes plans. The most automatable parts are forecasting volume, staffing optimization, performance analytics, and routine communications; the most human-critical parts are labor relations, incident response, and nuanced customer/community issues.",2026-02-24T07:20:17.948843
11-9141.00,"Property, Real Estate, and Community Association Managers","11-9141.00||Property, Real Estate, and Community Association Managers",3.4,3.6,2.2,4.2,2.8,4.1,Medium,3.2,"This occupation mixes standardized administrative workflows (rent collection, lease processing, maintenance ticketing, compliance documentation, budgeting/reporting) with high-touch stakeholder management. Many back-office components are codifiable and can be automated or heavily augmented by AI (document drafting, scheduling, vendor coordination, accounting reconciliation, policy/notice generation, and monitoring KPIs). However, core value often comes from social and emotional intelligence: handling disputes, negotiating with tenants/owners/boards, de-escalating conflicts, and building trust in governance decisions. Decision impact is relatively high due to legal/regulatory exposure, fair-housing considerations, safety issues, and financial stewardship, which keeps humans accountable for final judgments. Physical presence is sometimes needed for inspections and on-site issue resolution, though parts can be supported via remote monitoring, photos/video, and contractor networks.",2026-02-24T07:20:23.574191
11-9151.00,Social and Community Service Managers,11-9151.00||Social and Community Service Managers,3.2,4.1,1.4,4.6,3.4,4.4,Medium,2.9,"This role mixes administratively structured work (budgets, reporting, compliance, scheduling, policy documentation) with high-context leadership and stakeholder management. AI can strongly augment data-heavy tasks such as drafting policies and communications, summarizing case/program metrics, forecasting budgets, grant/report writing, and optimizing staffing/workflows. However, core responsibilities often require trust-building, negotiation with community partners, staff coaching, conflict resolution, and ethically sensitive judgment about participant needs and program tradeoffs. Accountability is typically high due to regulatory requirements, funding constraints, and potential harm from poor decisions, which limits full automation and favors human-in-the-loop oversight. Overall, many components are automatable/augmentable, but the job’s interpersonal and high-stakes decision elements keep end-to-end automation moderate.",2026-02-24T07:20:28.908360
11-9161.00,Emergency Management Directors,11-9161.00||Emergency Management Directors,3.2,4.4,2.6,4.3,3.4,4.8,Medium,2.8,"Emergency Management Directors do a mix of codifiable work (planning templates, compliance checklists, training materials, incident documentation) and highly context-dependent work (dynamic incident coordination under uncertainty). AI can strongly augment risk assessment, scenario modeling, resource tracking, drafting emergency plans, after-action reporting, and training content, raising efficiency in preparedness and administrative functions. However, real-time crisis leadership requires high-stakes judgment, interagency negotiation, public communication, and trust-building with communities and responders, which are difficult to automate reliably. Physical presence is sometimes required for site assessments, command center operations, and coordination with field teams, limiting full automation. Because errors can have severe consequences and accountability is high, AI is more suitable as decision support than as an autonomous director.",2026-02-24T07:20:33.415844
11-9171.00,Funeral Home Managers,11-9171.00||Funeral Home Managers,3.2,3.4,2.6,4.6,2.4,4.3,Medium,3.0,"Funeral home management includes many structured, codifiable components (scheduling, inventory/merchandise management, pricing templates, compliance documentation, billing) that are well-suited to software and AI augmentation. However, the role heavily depends on high-trust, emotionally sensitive interactions with grieving families, requiring empathy, judgment, and relationship management that current AI cannot reliably replicate. Some physical presence is typically required to oversee facilities, coordinate services, and handle on-site issues, limiting full automation even if back-office work is digitized. Decision-making carries meaningful legal, ethical, and reputational accountability (handling remains, permits, consumer protection, religious/cultural requirements), which tends to keep humans in the loop. Overall, AI can automate/assist administrative operations and decision support, but core client-facing counseling and accountable oversight remain human-critical.",2026-02-24T07:20:38.735506
11-9179.00,"Personal Service Managers, All Other","11-9179.00||Personal Service Managers, All Other",2.6,3.4,2.2,4.1,3.0,3.6,Medium,3.0,"This catch-all category spans many personal-service contexts, but typically involves coordinating staff, scheduling, customer service, and handling exceptions—some of which is standardized and measurable while much is situational. AI can strongly automate administrative components (booking/scheduling, staffing optimization, inventory/reordering, CRM follow-ups, reporting, policy reminders, and basic customer inquiries). However, the role often depends on trust-building, conflict resolution, service recovery, and tailoring experiences to individual clients, which requires high social/emotional judgment and context. Decision-making can be moderately high-stakes (safety, compliance, reputational risk, and personnel actions), limiting full automation and favoring human accountability. Overall, the work is well-suited to AI augmentation rather than end-to-end replacement, with automation highest in back-office coordination and lowest in nuanced client/staff interactions and exception handling.",2026-02-24T07:20:45.059317
